4.833984375000000000e-02,5.217966666666666861e+05
9.667968750000000000e-02,5.216366666666666861e+05
1.450195312500000000e-01,4.926433333333333721e+05
1.933593750000000000e-01,4.817866666666666861e+05
2.416992187500000000e-01,1.817366666666666861e+05
2.900390625000000000e-01,1.800333333333333430e+05
3.383789062500000000e-01,1.800300000000000000e+05
3.867187500000000000e-01,2.809000000000000000e+05
4.350585937500000000e-01,2.800466666666666861e+05
4.833984375000000000e-01,2.817533333333333721e+05
5.317382812500000000e-01,2.826066666666666861e+05
5.800781250000000000e-01,2.817533333333333721e+05
6.284179687500000000e-01,2.826066666666666861e+05
6.767578125000000000e-01,2.800466666666666861e+05
7.250976562500000000e-01,2.817533333333333721e+05
7.734375000000000000e-01,2.800466666666666861e+05
8.217773437500000000e-01,2.817566666666666861e+05
8.701171875000000000e-01,2.800500000000000000e+05
9.184570312500000000e-01,2.817566666666666861e+05
9.667968750000000000e-01,2.800500000000000000e+05
1.015136718750000000e+00,2.800466666666666861e+05
1.063476562500000000e+00,2.817533333333333721e+05
1.111816406250000000e+00,2.800466666666666861e+05
1.160156250000000000e+00,2.817533333333333721e+05
